Iteration: 620/5000	 MSE functional: 0.0001	 MSE terminal: 0.0009	 Total Loss: 0.0010
Iteration: 630/5000	 MSE functional: 0.0001	 MSE terminal: 0.0033	 Total Loss: 0.0034
Iteration: 640/5000	 MSE functional: 0.0001	 MSE terminal: 0.0007	 Total Loss: 0.0008
Iteration: 650/5000	 MSE functional: 0.0001	 MSE terminal: 0.0021	 Total Loss: 0.0022
Iteration: 660/5000	 MSE functional: 0.0001	 MSE terminal: 0.0023	 Total Loss: 0.0024
Iteration: 670/5000	 MSE functional: 0.0001	 MSE terminal: 0.0004	 Total Loss: 0.0005
Iteration: 680/5000	 MSE functional: 0.0001	 MSE terminal: 0.0017	 Total Loss: 0.0018
Iteration: 690/5000	 MSE functional: 0.0001	 MSE terminal: 0.0006	 Total Loss: 0.0007
Iteration: 700/5000	 MSE functional: 0.0001	 MSE terminal: 0.0017	 Total Loss: 0.0018
Iteration: 710/5000	 MSE functional: 0.0001	 MSE terminal: 0.0016	 Total Loss: 0.0018
Iteration: 720/5000	 MSE functional: 0.0001	 MSE terminal: 0.0016	 Total Loss: 0.0017
Iteration: 730/5000	 MSE functional: 0.0001	 MSE terminal: 0.0021	 Total Loss: 0.0022
Iteration: 740/5000	 MSE functional: 0.0001	 MSE terminal: 0.0005	 Total Loss: 0.0006
Iteration: 750/5000	 MSE functional: 0.0001	 MSE terminal: 0.0009	 Total Loss: 0.0010
Iteration: 760/5000	 MSE functional: 0.0001	 MSE terminal: 0.0009	 Total Loss: 0.0011
Iteration: 770/5000	 MSE functional: 0.0002	 MSE terminal: 0.0003	 Total Loss: 0.0004
Iteration: 780/5000	 MSE functional: 0.0002	 MSE terminal: 0.0003	 Total Loss: 0.0005
Iteration: 790/5000	 MSE functional: 0.0002	 MSE terminal: 0.0010	 Total Loss: 0.0012
Iteration: 800/5000	 MSE functional: 0.0002	 MSE terminal: 0.0004	 Total Loss: 0.0006
Iteration: 810/5000	 MSE functional: 0.0001	 MSE terminal: 0.0004	 Total Loss: 0.0005
Iteration: 820/5000	 MSE functional: 0.0002	 MSE terminal: 0.0009	 Total Loss: 0.0010
Iteration: 830/5000	 MSE functional: 0.0001	 MSE terminal: 0.0003	 Total Loss: 0.0004
Iteration: 840/5000	 MSE functional: 0.0002	 MSE terminal: 0.0014	 Total Loss: 0.0016
Iteration: 850/5000	 MSE functional: 0.0001	 MSE terminal: 0.0006	 Total Loss: 0.0008
Iteration: 860/5000	 MSE functional: 0.0002	 MSE terminal: 0.0005	 Total Loss: 0.0006
Iteration: 870/5000	 MSE functional: 0.0002	 MSE terminal: 0.0005	 Total Loss: 0.0008
Iteration: 880/5000	 MSE functional: 0.0001	 MSE terminal: 0.0014	 Total Loss: 0.0015
Iteration: 890/5000	 MSE functional: 0.0002	 MSE terminal: 0.0011	 Total Loss: 0.0013
Iteration: 900/5000	 MSE functional: 0.0002	 MSE terminal: 0.0003	 Total Loss: 0.0005
Iteration: 910/5000	 MSE functional: 0.0001	 MSE terminal: 0.0005	 Total Loss: 0.0007
Iteration: 920/5000	 MSE functional: 0.0002	 MSE terminal: 0.0006	 Total Loss: 0.0007
Iteration: 930/5000	 MSE functional: 0.0002	 MSE terminal: 0.0004	 Total Loss: 0.0006
Iteration: 940/5000	 MSE functional: 0.0002	 MSE terminal: 0.0003	 Total Loss: 0.0005
Iteration: 950/5000	 MSE functional: 0.0002	 MSE terminal: 0.0002	 Total Loss: 0.0005
Iteration: 960/5000	 MSE functional: 0.0003	 MSE terminal: 0.0005	 Total Loss: 0.0007
Iteration: 970/5000	 MSE functional: 0.0003	 MSE terminal: 0.0007	 Total Loss: 0.0010
Iteration: 980/5000	 MSE functional: 0.0002	 MSE terminal: 0.0004	 Total Loss: 0.0005
Iteration: 990/5000	 MSE functional: 0.0002	 MSE terminal: 0.0007	 Total Loss: 0.0008
Iteration: 1000/5000	 MSE functional: 0.0004	 MSE terminal: 0.0006	 Total Loss: 0.0010
Iteration: 1010/5000	 MSE functional: 0.0003	 MSE terminal: 0.0006	 Total Loss: 0.0008
Iteration: 1020/5000	 MSE functional: 0.0002	 MSE terminal: 0.0002	 Total Loss: 0.0004
Iteration: 1030/5000	 MSE functional: 0.0003	 MSE terminal: 0.0007	 Total Loss: 0.0010
Iteration: 1040/5000	 MSE functional: 0.0003	 MSE terminal: 0.0002	 Total Loss: 0.0005
Iteration: 1050/5000	 MSE functional: 0.0003	 MSE terminal: 0.0002	 Total Loss: 0.0004
Iteration: 1060/5000	 MSE functional: 0.0002	 MSE terminal: 0.0005	 Total Loss: 0.0007
Iteration: 1070/5000	 MSE functional: 0.0001	 MSE terminal: 0.0002	 Total Loss: 0.0003
Iteration: 1080/5000	 MSE functional: 0.0001	 MSE terminal: 0.0003	 Total Loss: 0.0004
Iteration: 1090/5000	 MSE functional: 0.0002	 MSE terminal: 0.0002	 Total Loss: 0.0004
Iteration: 1100/5000	 MSE functional: 0.0002	 MSE terminal: 0.0002	 Total Loss: 0.0004
Iteration: 1110/5000	 MSE functional: 0.0002	 MSE terminal: 0.0002	 Total Loss: 0.0005
Iteration: 1120/5000	 MSE functional: 0.0001	 MSE terminal: 0.0002	 Total Loss: 0.0003
Iteration: 1130/5000	 MSE functional: 0.0002	 MSE terminal: 0.0003	 Total Loss: 0.0005
Iteration: 1140/5000	 MSE functional: 0.0003	 MSE terminal: 0.0003	 Total Loss: 0.0006
Iteration: 1150/5000	 MSE functional: 0.0002	 MSE terminal: 0.0003	 Total Loss: 0.0005
Iteration: 1160/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0002
Iteration: 1170/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0002
Iteration: 1180/5000	 MSE functional: 0.0001	 MSE terminal: 0.0004	 Total Loss: 0.0005
Iteration: 1190/5000	 MSE functional: 0.0001	 MSE terminal: 0.0002	 Total Loss: 0.0003
Iteration: 1200/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0003
Iteration: 1210/5000	 MSE functional: 0.0002	 MSE terminal: 0.0002	 Total Loss: 0.0003
Iteration: 1220/5000	 MSE functional: 0.0001	 MSE terminal: 0.0003	 Total Loss: 0.0004
Iteration: 1230/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0003
Iteration: 1240/5000	 MSE functional: 0.0001	 MSE terminal: 0.0003	 Total Loss: 0.0004
Iteration: 1250/5000	 MSE functional: 0.0001	 MSE terminal: 0.0002	 Total Loss: 0.0003
Iteration: 1260/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0002
Iteration: 1270/5000	 MSE functional: 0.0001	 MSE terminal: 0.0002	 Total Loss: 0.0003
Iteration: 1280/5000	 MSE functional: 0.0002	 MSE terminal: 0.0001	 Total Loss: 0.0003
Iteration: 1290/5000	 MSE functional: 0.0001	 MSE terminal: 0.0002	 Total Loss: 0.0003
Iteration: 1300/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0001
Iteration: 1310/5000	 MSE functional: 0.0002	 MSE terminal: 0.0002	 Total Loss: 0.0004
Iteration: 1320/5000	 MSE functional: 0.0001	 MSE terminal: 0.0002	 Total Loss: 0.0003
Iteration: 1330/5000	 MSE functional: 0.0003	 MSE terminal: 0.0005	 Total Loss: 0.0008
Iteration: 1340/5000	 MSE functional: 0.0002	 MSE terminal: 0.0002	 Total Loss: 0.0003
Iteration: 1350/5000	 MSE functional: 0.0003	 MSE terminal: 0.0001	 Total Loss: 0.0004
Iteration: 1360/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0002
Iteration: 1370/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0002
Iteration: 1380/5000	 MSE functional: 0.0001	 MSE terminal: 0.0002	 Total Loss: 0.0003
Iteration: 1390/5000	 MSE functional: 0.0002	 MSE terminal: 0.0000	 Total Loss: 0.0003
Iteration: 1400/5000	 MSE functional: 0.0001	 MSE terminal: 0.0002	 Total Loss: 0.0003
Iteration: 1410/5000	 MSE functional: 0.0002	 MSE terminal: 0.0002	 Total Loss: 0.0003
Iteration: 1420/5000	 MSE functional: 0.0001	 MSE terminal: 0.0002	 Total Loss: 0.0003
Iteration: 1430/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0002
Iteration: 1440/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0002
Iteration: 1450/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0002
Iteration: 1460/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0002
Iteration: 1470/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0003
Iteration: 1480/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0002
Iteration: 1490/5000	 MSE functional: 0.0002	 MSE terminal: 0.0001	 Total Loss: 0.0002
Iteration: 1500/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0001
Iteration: 1510/5000	 MSE functional: 0.0002	 MSE terminal: 0.0001	 Total Loss: 0.0003
Iteration: 1520/5000	 MSE functional: 0.0002	 MSE terminal: 0.0001	 Total Loss: 0.0003
